Station,Location,State,Temperature,DO,pH,Conductivity,BOD,Nitrate,Fecal_Coliform,Total_Coliform,Year,BOD_DO_Ratio,Temp_DO_Interaction,Pollution_Index,Risk_Score,Risk_Level
3855,"RIVER BEAS D/S NADAUN BRIDGE,
VILL BHADOLI",HIMACHAL PRADESH,20.0,5.7,7.4,167.0,1.0,0.4,2.0,24.0,2021,0.17513134851138354,114.0,0.753,2.26,Safe
1009,"RIVER BEAS AT D/S
PONG DAM","HIMACHAL
PRADESH",18.0,5.7,7.0,146.0,1.0,0.4,2.0,26.0,2021,0.17513134851138354,102.60000000000001,0.714,2.04,Safe
1008,"RIVER BEAS AT D/S
DEHRAGOPIPUR","HIMACHAL
PRADESH",20.0,5.7,7.1,141.0,1.0,0.4,2.0,17.0,2021,0.17513134851138354,114.0,0.6904999999999999,1.9,Safe
4435,"RIVER BEAS U/S
SUJANPUR TIHRA","HIMACHAL
PRADESH",10.3,5.7,7.1,120.0,1.0,0.4,2.0,24.0,2021,0.17513134851138354,58.71000000000001,0.659,1.71,Safe
4436,"RIVER BEAS D/S
SUJANPUR TIHRA","HIMACHAL
PRADESH",10.3,5.7,7.0,131.0,1.0,0.4,2.0,24.0,2021,0.17513134851138354,58.71000000000001,0.681,1.85,Safe
4437,"RIVER BEAS U/S
NADAUM TOWN","HIMACHAL
PRADESH",10.2,5.7,7.3,122.0,1.0,0.4,2.0,24.0,2021,0.17513134851138354,58.14,0.663,1.74,Safe
4438,"RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE
OF MAAN KHAD",HIMACHAL PRADESH,10.2,5.7,7.2,138.0,1.0,0.4,2.0,26.0,2021,0.17513134851138354,58.14,0.698,1.95,Safe
4443,"RIVER BEAS AT
RAISON","HIMACHAL
PRADESH",5.0,5.7,7.0,71.0,1.0,0.4,32.0,210.0,2021,0.17513134851138354,28.5,0.885,2.98,Safe
1693,"RIVER BEAS AT TALWARA H/W,
PUNJAB",PUNJAB,8.0,5.7,7.5,158.0,1.0,0.4,18.0,84.0,2021,0.17513134851138354,45.6,0.8490000000000001,2.79,Safe
1694,"RIVER BEAS AT U/S PATHANKOT,
PUNJAB",PUNJAB,11.0,5.7,7.0,194.0,1.1,0.4,40.0,120.0,2021,0.1926444833625219,62.7,1.038,3.76,Safe
1010,"RIVER BEAS AT MIRTHAL BRIDGE,
GURDASPUR",PUNJAB,10.0,5.7,7.6,195.0,1.1,0.4,32.0,100.0,2021,0.1926444833625219,57.0,0.9980000000000001,3.56,Safe
1695,"RIVER BEAS D/S PATHANKOT,
PUNJAB",PUNJAB,11.0,5.7,7.5,200.0,1.1,0.4,40.0,140.0,2021,0.1926444833625219,62.7,1.08,3.96,Safe
1294,"RIVER BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT
MUKERIAN , PUNJAB",PUNJAB,18.0,5.7,7.3,197.0,1.0,0.4,68.0,200.0,2021,0.17513134851138354,102.60000000000001,1.176,4.41,Safe
1696,"RIVER BEAS U/S
GOINDWAL, PUNJAB",PUNJAB,15.0,5.7,7.7,166.0,1.0,0.4,63.0,220.0,2021,0.17513134851138354,85.5,1.1365,4.23,Safe
1697,"RIVER BEAS AT
HARIKE, PUNJAB",PUNJAB,15.0,5.7,7.7,184.0,1.0,0.4,78.0,330.0,2021,0.17513134851138354,85.5,1.3599999999999999,5.22,Safe
1011,"RIVER BEAS AT G.T. ROAD UNDER BDG.
NEAR KAPURTHALA",PUNJAB,15.0,5.7,7.3,185.0,1.0,0.4,70.0,280.0,2021,0.17513134851138354,85.5,1.275,4.85,Safe
1012,"RIVER BEAS AT 100M D/S INDUST. DISCH.
GOINDWAL",PUNJAB,15.0,5.7,7.7,169.0,1.0,0.4,70.0,280.0,2021,0.17513134851138354,85.5,1.2429999999999999,4.71,Safe
4164,"RIVER BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA,
GURDASPUR",PUNJAB,18.0,5.7,7.6,189.0,1.0,0.4,68.0,260.0,2021,0.17513134851138354,102.60000000000001,1.25,4.74,Safe
1013,"RIVER SUTLEJ AT U/S
TATAPANI","HIMACHAL
PRADESH",8.5,5.7,7.3,1229.0,1.0,0.4,2.0,920.0,2021,0.17513134851138354,48.45,4.221,13.1,Safe
4446,"RIVER SUTLEJ U/S IANDFILL SITE
RAMPUR",HIMACHAL PRADESH,8.0,5.7,7.5,1149.0,1.0,0.4,7.0,350.0,2021,0.17513134851138354,45.6,3.2135,10.97,Safe
4447,"RIVER STLUJ D/S LANDFILL SITE
RAMPUR",HIMACHAL PRADESH,8.0,5.7,7.2,168.0,1.0,0.4,9.0,1600.0,2021,0.17513134851138354,45.6,3.1294999999999997,10.77,Safe
4032,"RIVER SUTLEJ U/S KHAIRIAN SOLID WASTE DUMPING
SITE BILASPUR",HIMACHAL PRADESH,14.0,5.7,7.1,173.0,1.0,0.4,43.0,140.0,2021,0.17513134851138354,79.8,1.0005,3.57,Safe
4033,"RIVER SUTLEJ D/S KHAIRIAN SOLID WASTE DUMPING
SITE BILASPUR",HIMACHAL PRADESH,14.0,5.7,7.1,178.0,1.0,0.4,46.0,150.0,2021,0.17513134851138354,79.8,1.0299999999999998,3.72,Safe
4450,"RIVER SUTLEJ U/S CONFLUENCE WITH
GANVI KHAND",HIMACHAL PRADESH,7.5,5.7,7.4,960.0,1.0,0.4,2.0,49.0,2021,0.17513134851138354,42.75,2.3765,8.77,Safe
4451,"RIVER SUTLEJ D/S CONFLUENCE WITH
GANVI KHAD",HIMACHAL PRADESH,7.5,5.7,7.1,978.0,1.0,0.4,5.0,220.0,2021,0.17513134851138354,42.75,2.6734999999999998,9.61,Safe
30009,"RIVER SUTLEJ AT
NANGAL (H.P.)","HIMACHAL
PRADESH",14.0,5.7,7.1,207.0,1.0,0.4,110.0,490.0,2021,0.17513134851138354,79.8,1.694,6.53,Safe
1014,"RIVER SUTLEJ AT U/S
SLAPPER","HIMACHAL
PRADESH",13.0,5.7,7.3,110.0,1.0,0.4,31.0,170.0,2021,0.17513134851138354,74.10000000000001,0.9015000000000001,3.07,Safe
1015,"RIVER SUTLEJ AT D/S
SLAPPER","HIMACHAL
PRADESH",13.0,5.7,7.2,111.0,1.0,0.4,49.0,210.0,2021,0.17513134851138354,74.10000000000001,0.9905000000000002,3.52,Safe
1016,"RIVER SUTLEJ AT D/S
BHAKHRA","HIMACHAL
PRADESH",10.4,5.7,7.0,185.0,1.0,0.4,2.0,22.0,2021,0.17513134851138354,59.28,0.786,2.45,Safe
30010,"RIVER SUTLEJ AT NOORPUR BEDI ROAD
(PUNJAB)",PUNJAB,15.0,5.7,7.1,218.0,1.0,0.4,93.0,1400.0,2021,0.17513134851138354,85.5,3.0555000000000003,10.59,Safe
1814,"RIVER SUTLEJ AT D/S KIRATPUR SAHIB,
PUNJAB",PUNJAB,12.0,5.7,7.5,198.0,1.0,0.4,45.0,310.0,2021,0.17513134851138354,68.4,1.3085,5.0,Safe
2915,"RIVER SUTLEJ AT 100 MT. D/S OF PACL,
NANGAL, PUNJAB",PUNJAB,14.0,5.7,7.3,203.0,1.0,0.4,18.0,93.0,2021,0.17513134851138354,79.8,0.9525000000000001,3.33,Safe
1380,"RIVER SUTLEJ AT D/S
NFL, PUNJAB",PUNJAB,13.0,5.7,7.3,202.0,1.0,0.4,18.0,93.0,2021,0.17513134851138354,74.10000000000001,0.9505000000000001,3.32,Safe
10020,"RIVER SUTLEJ AT
ANANDPUR SAHIB",PUNJAB,12.0,5.7,7.4,225.0,1.0,0.4,45.0,210.0,2021,0.17513134851138354,68.4,1.2125000000000001,4.57,Safe
10021,"RIVER SUTLEJ AT
BUNGA SAHIB",PUNJAB,13.0,5.7,7.7,200.0,1.0,0.4,68.0,390.0,2021,0.17513134851138354,74.10000000000001,1.467,5.66,Safe
10022,"RIVER SUTLEJ AT
PHILLAUR U/S",PUNJAB,10.0,5.7,7.0,257.0,1.0,0.4,200.0,840.0,2021,0.17513134851138354,57.0,2.4539999999999997,9.0,Safe
10023,"RIVER SUTLEJ AT PHAGWARA U/S
(CHAHERU BRIDGE)",PUNJAB,11.0,5.7,7.1,381.0,12.0,0.4,360.0,610.0,2021,2.1015761821366024,62.7,5.897,15.87,Safe
10024,"RIVER SUTLEJ AT PHAGWARA D/S (KANGANIWAL
BRIDGE)",PUNJAB,10.0,5.7,7.2,888.0,9.0,0.4,780.0,1700.0,2021,1.5761821366024518,57.0,8.276,18.81,Safe
10027,"RIVER SUTLEJ AT
LUDHIANA U/S",PUNJAB,13.0,5.7,7.5,221.0,1.0,0.4,98.0,940.0,2021,0.17513134851138354,74.10000000000001,2.379,8.78,Safe
10028,"RIVER SUTLEJ AT
LUDHIANA D/S",PUNJAB,15.0,5.7,7.0,298.0,4.0,0.4,79000.0,240000.0,2021,0.7005253940455342,85.5,480.376,58.04,Risky
1017,"RIVER SUTLEJ AT 100M U/S OF HEADWORKS,
NANGAL",PUNJAB,11.0,5.7,7.4,191.0,1.0,0.4,18.0,93.0,2021,0.17513134851138354,62.7,0.9285000000000001,3.21,Safe
1018,"RIVER SUTLEJ AT
100M D/S , NANGAL",PUNJAB,11.0,5.7,7.3,200.0,1.0,0.4,37.0,170.0,2021,0.17513134851138354,62.7,1.0905,4.01,Safe
1293,"RIVER SUTLEJ AT 1 KM. D/S OF ZENITH,
PUNJAB",PUNJAB,13.0,5.7,7.4,210.0,1.0,0.4,78.0,700.0,2021,0.17513134851138354,74.10000000000001,1.967,7.49,Safe
1019,"RIVER SUTLEJ AT U/S
HEAD WORKS ROPAR",PUNJAB,12.0,5.7,7.5,218.0,1.0,0.4,78.0,630.0,2021,0.17513134851138354,68.4,1.8780000000000001,7.19,Safe
1690,"RIVER SUTLEJ AT U/S BUDHA NALLAH
(UPPER), PUNJAB",PUNJAB,14.0,5.7,7.1,257.0,1.0,0.4,200.0,1100.0,2021,0.17513134851138354,79.8,2.844,10.06,Safe
1020,"RIVER SUTLEJ AT 100M D/S BUDHA NALA CONFL.,
LUDHIANA",PUNJAB,15.0,5.7,6.9,475.0,7.5,0.4,310000.0,1100000.0,2021,1.3134851138353765,85.5,2118.2799999999997,72.77,Risky
1022,"RIVER SUTLEJ AT BRIDGE HARIKE,
AMRITSAR",PUNJAB,12.0,5.7,6.9,242.0,1.9,0.4,680.0,2100.0,2021,0.3327495621716287,68.4,5.304,14.98,Safe
10025,"RIVER SUTLEJ AT JALANDHAR U/S (PEERU SHAH KA
DARGAH)",PUNJAB,10.0,5.7,7.1,962.0,48.0,0.4,21000.0,58000.0,2021,8.40630472854641,57.0,134.904,45.48,Moderate
10026,"RIVER SUTLEJ AT JALANDHAR D/S
(MALSIAN BRIDGE)",PUNJAB,12.0,5.7,7.2,1050.0,55.0,0.4,21000.0,70000.0,2021,9.632224168126095,68.4,155.18,46.86,Moderate
1021,"RIVER SUTLEJ AT BOAT BDG. DHARMKOTNAKODAR
ROAD, JALANDHAR",PUNJAB,11.0,5.7,6.8,339.0,3.2,0.4,11000.0,92000.0,2021,0.5604203152364273,62.7,156.218,46.93,Moderate
1381,"RIVER SUTLEJ AT D/S
EAST BEIN, PUNJAB",PUNJAB,12.0,5.7,7.0,330.0,2.4,0.4,110000.0,460000.0,2021,0.4203152364273205,68.4,856.46,63.78,Risky
1691,"RIVER SUTLEJ AT U/S HUSSANIWALA - H/W
FEROZEPUR, PUNJAB",PUNJAB,10.0,5.7,7.0,224.0,1.2,0.4,330.0,1100.0,2021,0.21015761821366025,57.0,3.033,10.54,Safe
1692,"RIVER SUTLEJ AT D/S HUSSANIWALA-H/W
FEROZEPUR, PUNJAB",PUNJAB,12.0,5.7,7.0,225.0,1.2,0.4,360.0,920.0,2021,0.21015761821366025,68.4,2.81,9.97,Safe
30085,RIVER         RAVI         AT MADHOPUR (PUNJAB),PUNJAB,18.0,9.1,8.1,232.0,1.0,0.32,11.0,90.0,2022,0.10976948408342481,163.79999999999998,0.9794999999999999,3.47,Safe
30089,"RIVER         RAVI         AT LAKHANPUR, J & K",JAMMU & KASHMIR,17.0,9.0,8.2,232.0,1.0,0.32,11.0,90.0,2022,0.11098779134295228,153.0,0.9794999999999999,3.47,Safe
1097,"RIVER RAVI AT U/S OF MADHOPUR HEADWORKS, GURDASPUR, PUNJAB",PUNJAB,12.0,7.3,7.6,232.0,1.0,0.4,11.0,90.0,2022,0.13679890560875513,87.6,0.9954999999999999,3.55,Safe
1290,"RIVER               PARVATI BEFORE      CONF.      TO
RIVER        BEAS        AT BHUNTER",HIMACHAL PRADESH,3.0,7.2,7.42,232.0,1.0,0.32,11.0,90.0,2022,0.13869625520110956,21.6,0.9794999999999999,3.47,Safe
2605,RIVER     PARVATI     AT U/S MANIKARAN,HIMACHAL PRADESH,3.0,7.6,7.08,232.0,1.0,0.32,11.0,90.0,2022,0.1314060446780552,22.799999999999997,0.9794999999999999,3.47,Safe
2606,RIVER     PARVATI     AT D/S MANIKARAN,HIMACHAL PRADESH,3.0,7.6,6.85,232.0,1.0,0.32,11.0,90.0,2022,0.1314060446780552,22.799999999999997,0.9794999999999999,3.47,Safe
1551,RIVER       SIRSA       U/S SITOMAJRI NALLAH,HIMACHAL PRADESH,11.0,5.2,7.32,232.0,1.0,0.47,11.0,90.0,2022,0.19193857965451055,57.2,1.0095,3.62,Safe
1552,RIVER       SIRSA       D/S NALAGARH BRIDGE,HIMACHAL PRADESH,11.0,5.0,7.28,232.0,1.0,0.32,11.0,90.0,2022,0.1996007984031936,55.0,0.9794999999999999,3.47,Safe
1868,RIVER     SIRSA         D/S NALAGARH  TOWN,HIMACHAL PRADESH,11.0,5.5,7.41,232.0,1.0,0.64,11.0,90.0,2022,0.18148820326678766,60.5,1.0434999999999999,3.79,Safe
4485,RIVER       SIRSA       U/S SANDHOLI NALLAH,HIMACHAL PRADESH,12.0,1.0,7.45,232.0,1.0,1.48,11.0,90.0,2022,0.9900990099009901,12.0,1.2115,4.57,Safe
4487,RIVER       SIRSA       D/S HOUSING            BOARD NALLAH,HIMACHAL PRADESH,11.0,3.5,6.88,232.0,1.0,1.42,11.0,90.0,2022,0.2849002849002849,38.5,1.1995,4.52,Safe
4489,RIVER    SIRSA    AFTER CONF.        TO        RIVER RATTA,HIMACHAL PRADESH,10.0,4.5,7.21,232.0,1.0,0.86,11.0,90.0,2022,0.22172949002217296,45.0,1.0875,4.0,Safe
30012,"RIVER       SARSA       AT BADDI      ,      ,GHANOLI
VILLAGE) PUNJAB",PUNJAB,19.0,4.7,7.6,232.0,1.0,3.75,11.0,90.0,2022,0.21231422505307856,89.3,1.6655,6.43,Safe
2616,RIVER BAIRA SIUL  D/S SURGANI,HIMACHAL PRADESH,8.0,8.6,6.72,232.0,1.0,0.4,11.0,90.0,2022,0.11614401858304298,68.8,0.9954999999999999,3.55,Safe
2607,"SUKETI                  KHAD
BEFORE   CONF.   WITH RIVER BEAS",HIMACHAL PRADESH,7.0,6.5,7.56,232.0,1.0,0.32,11.0,90.0,2022,0.15360983102918588,45.5,0.9794999999999999,3.47,Safe
2608,RIVER  BINWA  AT  D/S PAPROLA/BAIJNATH,HIMACHAL PRADESH,15.0,7.5,6.9,232.0,1.0,0.4,11.0,90.0,2022,0.13315579227696406,112.5,0.9954999999999999,3.55,Safe
2609,NEUGAL   KHAD      D/S THURAL,HIMACHAL PRADESH,10.0,8.5,7.11,232.0,1.0,0.4,11.0,90.0,2022,0.11750881316098707,85.0,0.9954999999999999,3.55,Safe
2610,"RIVER   SPITI   BEFORE CONF.WITH         RIVER
SUTLEJ AT KHAB",HIMACHAL PRADESH,7.0,9.1,8.08,232.0,1.0,0.32,11.0,90.0,2022,0.10976948408342481,63.699999999999996,0.9794999999999999,3.47,Safe
2612,RIVER      BASPA      U/S RESERVOIR         BASPA HEP AT KUPPA,HIMACHAL PRADESH,6.0,9.3,8.1,232.0,1.0,0.32,11.0,90.0,2022,0.10741138560687433,55.800000000000004,0.9794999999999999,3.47,Safe
2755,"RIVER          BANGANGA (BATHING           GHAT),
KATRA,",JAMMU & KASHMIR,11.0,5.0,7.85,232.0,1.0,0.4,11.0,90.0,2022,0.1996007984031936,55.0,0.9954999999999999,3.55,Safe
2756,RIVER  BANGANGA  (IN FRONT OF PONY SHED NEAR                      REASI BRIDGE)KATRA,JAMMU & KASHMIR,11.0,4.2,7.85,232.0,1.0,0.4,11.0,90.0,2022,0.23752969121140144,46.2,0.9954999999999999,3.55,Safe
2752,"RIVER  BASANTER  U/S (R.H.S)                 SAMBA
(BELOW                NH-1A BRIDGE),",JAMMU & KASHMIR,13.0,4.2,7.56,232.0,1.0,0.4,11.0,90.0,2022,0.23752969121140144,54.6,0.9954999999999999,3.55,Safe
2753,"RIVER           BASANTER
D/S(R.H.S.) SAMBA (AT CHAK MANGA GUJJAR",JAMMU & KASHMIR,13.0,4.3,7.35,232.0,1.0,0.4,11.0,90.0,2022,0.2320185614849188,55.9,0.9954999999999999,3.55,Safe
2748,RIVER     CHENAB     AT L.H.S.(BELOW   BRIDGE CHENAB),JAMMU & KASHMIR,12.0,7.0,7.26,232.0,1.0,0.4,11.0,90.0,2022,0.14265335235378032,84.0,0.9954999999999999,3.55,Safe
2749,"RIVER     CHENAB     AT BLIND                   CURVE SHAMSHAN GHAT  (1.5
KM U/S FROM SPOT)",JAMMU & KASHMIR,12.0,7.2,7.28,232.0,1.0,0.4,11.0,90.0,2022,0.13869625520110956,86.4,0.9954999999999999,3.55,Safe
2750,"RIVER     CHENAB     AT CHADRA   GAON   VIEW POINT(4 KM U/S FROM
SPOT)",JAMMU & KASHMIR,12.0,7.2,7.28,232.0,1.0,0.4,11.0,90.0,2022,0.13869625520110956,86.4,0.9954999999999999,3.55,Safe
2751,"RIVER CHENAB AT JAL PATAN              MANDIR AFTER MEETING WITH MAIN        DRAIN        OF
AKHNOOR        CITY(1.5 KMD/S FROM SPOT)",JAMMU & KASHMIR,12.0,7.3,7.56,232.0,1.0,0.4,11.0,90.0,2022,0.13679890560875513,87.6,0.9954999999999999,3.55,Safe
2754,"RIVER                   DEVAK UDHAMPUR(NEAR SHIV                   MANDIR
D/S)L.H.S.",JAMMU & KASHMIR,14.0,4.2,7.82,232.0,1.0,0.4,11.0,90.0,2022,0.23752969121140144,58.800000000000004,0.9954999999999999,3.55,Safe
2757,RIVER       DEVAK       AT UTTERBEHNI,JAMMU & KASHMIR,16.0,7.0,7.97,232.0,1.0,0.4,11.0,90.0,2022,0.14265335235378032,112.0,0.9954999999999999,3.55,Safe
2742,"RIVER        TAWI        AT SHETALI            LIFTING
POINT  NAGROTA(5KM U/S TAWI BRIDGE)",JAMMU & KASHMIR,16.0,6.8,7.2,232.0,1.0,0.4,11.0,90.0,2022,0.14684287812041116,108.8,0.9954999999999999,3.55,Safe
2743,"RIVER TAWI AT BAGH-E-BAHU             LIFTING POINT(1 KM U/S TAWI
BRIDGE)",JAMMU & KASHMIR,14.0,6.5,7.4,232.0,1.0,0.4,11.0,90.0,2022,0.15360983102918588,91.0,0.9954999999999999,3.55,Safe
1412,"RIVER        TAWI        AT JAMMU     U/S,     (TAWI BRIDGE )",JAMMU & KASHMIR,14.0,4.4,7.45,232.0,1.0,0.4,11.0,90.0,2022,0.22675736961451246,61.60000000000001,0.9954999999999999,3.55,Safe
2744,RIVER   TAWI   BELOW TAWI BRIDGE,JAMMU & KASHMIR,14.0,5.0,7.71,232.0,1.0,0.4,11.0,90.0,2022,0.1996007984031936,70.0,0.9954999999999999,3.55,Safe
2745,RIVER                      TAWI BAGHWATI        NAGAR (2KM        D/S        TAWI BRIDGE,JAMMU & KASHMIR,14.0,3.5,7.55,232.0,1.0,0.4,11.0,90.0,2022,0.2849002849002849,49.0,0.9954999999999999,3.55,Safe
2746,"RIVER        TAWI        AT BELICHARANA(4KM
D/S TAWI BRIDGE)",JAMMU & KASHMIR,15.0,6.6,7.65,232.0,1.0,0.4,11.0,90.0,2022,0.15128593040847202,99.0,0.9954999999999999,3.55,Safe
2747,"RIVER        TAWI        AT SURAJPUR CHATHA(10 KM          D/S          TAWI BRIDGE)BELOW BRIDGE                  NEAR
CHATHA                  MSW DUMPING SITE, J&K",JAMMU & KASHMIR,15.0,6.7,7.45,232.0,1.0,0.32,11.0,90.0,2022,0.14903129657228018,100.5,0.9794999999999999,3.47,Safe
4055,"RIVER  TAWI  AT  1  KM D/S        BELOW        STP
DISCHARGE  POINT  AT BHAGWATI NAGAR",JAMMU & KASHMIR,15.0,2.8,7.45,232.0,1.0,0.4,11.0,90.0,2022,0.3558718861209965,42.0,0.9954999999999999,3.55,Safe
4056,"RIVER TAWI AT BALOL NALLAH,     NEAR    NIT COLLEGE,            MIRAN
SAHIB,                BEFORE MIXING",JAMMU & KASHMIR,14.0,4.3,7.56,232.0,1.0,0.4,11.0,90.0,2022,0.2320185614849188,60.199999999999996,0.9954999999999999,3.55,Safe
2758,"RIVER   UJH   AT   DAM SITE(L.H.S.), KATHUA",JAMMU & KASHMIR,22.0,7.4,7.8,232.0,1.0,0.4,11.0,90.0,2022,0.1349527665317139,162.8,0.9954999999999999,3.55,Safe
4058,"RIVER       DEVAK       AT PURMANDAL,       NEAR TEMPLE",JAMMU & KASHMIR,16.0,5.2,8.1,232.0,1.0,0.4,11.0,90.0,2022,0.19193857965451055,83.2,0.9954999999999999,3.55,Safe
4062,"RIVER   DEVAK   2   KM D/S        FROM        SHIV MANDIR                       AT
UDHAMPUR,",JAMMU & KASHMIR,14.0,3.6,7.92,232.0,1.0,0.4,11.0,90.0,2022,0.2770083102493075,50.4,0.9954999999999999,3.55,Safe
4063,"RIVER  DEVAK  ABOUT 10 KM D/S FROM SHIV MANDIR,            BELOW
RAILWAY          BRIDGE, UDHAMPUR",JAMMU & KASHMIR,14.0,7.1,7.5,232.0,1.0,0.4,11.0,90.0,2022,0.1406469760900141,99.39999999999999,0.9954999999999999,3.55,Safe
4161,"RIVER      CONFLUENCE POINT OF SARSA NADI
WITH    WITH    SUTLEJ,",PUNJAB,9.0,6.6,7.6,232.0,1.0,1.4,11.0,90.0,2022,0.15128593040847202,59.4,1.1955,4.5,Safe
3856,RIVER       SWAN       U/S INDUSTRIAL         AREA GAGRET,HIMACHAL PRADESH,20.5,6.1,7.35,232.0,1.0,0.4,11.0,90.0,2022,0.16366612111292964,125.05,0.9954999999999999,3.55,Safe
3857,"RIVER       SWAN       D/S
INDUSTRIAL         AREA GAGRET",HIMACHAL PRADESH,20.5,6.0,7.4,232.0,1.0,0.36,11.0,90.0,2022,0.1663893510815308,123.0,0.9874999999999999,3.51,Safe
3858,RIVER       SWAN       U/S SANTOSHGARH BRIDGE,HIMACHAL PRADESH,11.0,6.0,7.18,232.0,1.0,0.49,11.0,90.0,2022,0.1663893510815308,66.0,1.0135,3.64,Safe
3859,"RIVER SWAN U/S UNA TOWN                           AT
GHALLUWAL BRIDGE",HIMACHAL PRADESH,21.0,6.4,7.23,232.0,1.0,0.5,11.0,90.0,2022,0.15600624024961,134.4,1.0154999999999998,3.65,Safe
4030,"RIVER  SWAN  BEFORE
CONF. OF GARNI KHAD AT CHURURU",HIMACHAL PRADESH,19.0,6.5,7.31,232.0,1.0,0.32,11.0,90.0,2022,0.15360983102918588,123.5,0.9794999999999999,3.47,Safe
4031,RIVER    SWAN   AFTER CONF. GARNI KHAD AT CHURURU,HIMACHAL PRADESH,19.0,6.6,7.4,232.0,1.0,0.4,11.0,90.0,2022,0.15128593040847202,125.39999999999999,0.9954999999999999,3.55,Safe
1869,RIVER       SWAN       D/S BELA                BATHARI (BHANGLA),HIMACHAL PRADESH,13.0,6.5,7.11,232.0,1.0,0.53,11.0,90.0,2022,0.15360983102918588,84.5,1.0215,3.68,Safe
30011,"RIVER        SWAN        AT DHANGLA       VILLAGE, SANTOSHGARH (PUNJAB)",PUNJAB,19.0,8.6,7.9,232.0,1.0,0.32,11.0,90.0,2022,0.11614401858304298,163.4,0.9794999999999999,3.47,Safe
4038,RIVER              TIRTHAN BEFORE      CONF.      TO RIVER SUTLEJ,HIMACHAL PRADESH,6.0,7.4,7.42,232.0,1.0,0.32,11.0,90.0,2022,0.1349527665317139,44.400000000000006,0.9794999999999999,3.47,Safe
2617,RIVER PABBAR AT U/S DHAMBARI,HIMACHAL PRADESH,6.0,7.9,6.83,232.0,1.0,0.32,11.0,90.0,2022,0.1264222503160556,47.400000000000006,0.9794999999999999,3.47,Safe
